GoogleMapLink,Name,Rating,Price,Type,Address,Thumbnail
https://www.google.com/maps/place/%E5%B0%8F%E5%85%94%E4%BE%86%E4%BA%86%E9%A4%90%E5%BB%B3-%E6%96%B0%E5%B8%82%E7%B8%BD%E5%BA%97/data=!4m7!3m6!1s0x346e7bc4dde30523:0x977edab0306a49ed!8m2!3d23.0775758!4d120.2878336!16s%2Fg%2F11smr1y92z!19sChIJIwXj3cR7bjQR7UlqMLDafpc?authuser=0&hl=zh-TW&rclk=1,小兔來了餐廳-新市總店,4.8,$1-200,餐廳,社內1-7號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzUWnUiXAb-DW0-Zx8Cxn8ePkx6lbES0XCWeRJZDRMNf3ruHEbBLBjc1gqOygib4E9TFYD18NTI5PDBbU7mBUlPjp-nXDG_ky8euqKkVMp42zvUheHIo8kuW5kZlJXG-sjcngyl=w80-h106-k-no
https://www.google.com/maps/place/%E8%B1%AC%E8%91%A3%E6%B2%99%E8%8C%B6%E7%88%90-%E6%96%B0%E5%B8%82%E7%B8%BD%E5%BA%97+President+Hot+Pot+Xinshi+NO.1/data=!4m7!3m6!1s0x346e7b0040fbd511:0xa8e17cc4fafc6ce7!8m2!3d23.0710732!4d120.2919252!16s%2Fg%2F11hzwyyk_5!19sChIJEdX7QAB7bjQR52z8-sR84ag?authuser=0&hl=zh-TW&rclk=1,豬董沙茶爐-新市總店 President Hot Pot Xinshi NO.1,4.4,$400-600,火鍋,中正路29-1號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx7ckDJkCk81ByRYqAzAvwfGdJvom2RO_buhbWgBunw_hFjtn_cvoAl-kk2H67Wv3bV7JfScRLApCV0NrCYhWoB8GsrJIkdm4Zp-SfRQY8PRd9HQ2HsWT25uKxRQ1y8q7HkzwXGX9YWG-Qg=w122-h92-k-no
https://www.google.com/maps/place/Mr.Wheat+%E5%B0%8F%E9%BA%A5%E5%85%88%E7%94%9F%E5%89%B5%E6%84%8F%E6%96%99%E7%90%86+-+%E6%96%B0%E5%B8%82%E5%89%B5%E5%A7%8B%E5%BA%97/data=!4m7!3m6!1s0x346e7a5988fb6879:0x5cbb430b9ff5149!8m2!3d23.0804291!4d120.2905133!16s%2Fg%2F1thl352f!19sChIJeWj7iFl6bjQRSVH_uTC0ywU?authuser=0&hl=zh-TW&rclk=1,Mr.Wheat 小麥先生創意料理 - 新市創始店,4.6,$200-400,餐廳,富林路352號,https://lh3.googleusercontent.com/p/AF1QipPBtPUHgqOhb2qvrgjp6-OmqRrCdsnbDD1J8yaM=w138-h92-k-no
https://www.google.com/maps/place/%E5%A7%91%E5%A9%86%E9%BA%B5/data=!4m7!3m6!1s0x346e7a59b7dc0fe5:0xfbcb65b7b68d3a4b!8m2!3d23.0772759!4d120.2939672!16s%2Fg%2F11h1rbrcx!19sChIJ5Q_ct1l6bjQRSzqNtrdly_s?authuser=0&hl=zh-TW&rclk=1,姑婆麵,4.3,$1-200,麵店,·,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzlWzxGH1b63zO0p8bEZ0GUOja3LGC3whfJUKOnaEginKvfoJqnKDPJ_fxeHPBiVrddEiUBvivXsl2S7DgMTSr-iAJmz8SL04vTkKM4SJCmcr9XXjb7BGBVeDLHnBQBsO2AfqtMog=w122-h92-k-no
https://www.google.com/maps/place/YO%E7%BE%A9%E6%80%9D-%E6%96%B0%E5%B8%82%E5%BA%97%EF%BC%88%E9%A0%90%E6%9C%9F11%2F1-11%2F16%E5%85%A7%E9%83%A8%E6%95%B4%E4%BF%AE%E4%B8%AD%EF%BC%89/data=!4m7!3m6!1s0x346e7b24b78dc27d:0x49f0eaaadbc9cc97!8m2!3d23.0773722!4d120.287913!16s%2Fg%2F11p06p5q6h!19sChIJfcKNtyR7bjQRl8zJ26rq8Ek?authuser=0&hl=zh-TW&rclk=1,YO義思-新市店（預期11/1-11/16內部整修中）,4.6,$200-400,意大利菜,社內2之4號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyCGz_TCu1JA99DHHIJnd-1JX868u8MDlj9lLQLKlGU0oSlX1e6nK971sbspGXG4K-SkLId52ceGny2iLRIDk2UQUiNBNInZzaHdHJ34RvNJqLfz_Lo6XYZSmOqGyF6xUYtQ08=w80-h106-k-no
https://www.google.com/maps/place/%E6%97%A5%E8%8C%B6DayTea%E6%96%B0%E5%B8%82%E5%BA%97%EF%BC%882F+%E5%8F%AF%E5%85%A7%E7%94%A8%EF%BC%89%2F%E6%97%A9%E4%B8%8A%E4%B8%AD%E5%8D%88%E6%8E%A5%E5%8F%97%E5%89%8D%E4%B8%80%E5%A4%A9%E9%A0%90%E8%A8%82%E5%96%AE/data=!4m7!3m6!1s0x346e7be497d8cd49:0xa953953566ac5ed3!8m2!3d23.0785301!4d120.2919051!16s%2Fg%2F11s1bjlh95!19sChIJSc3Yl-R7bjQR016sZjWVU6k?authuser=0&hl=zh-TW&rclk=1,日茶DayTea新市店（2F 可內用）/早上中午接受前一天預訂單,4.8,$1-200,冰品飲料店,中正路237-7號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyKHCmKrCoty8T4vnsMMflqQiKxMU6sLeMc2k0rUvLN_DoAeuTB2wL_6Ja_qM7aZjNR3a5nz7292m7qah5L4SJiYt0kqgXqtAOUk8do5_lHb1ema3K8VQVgQJo3adu8eKeYtyHcvA=w122-h92-k-no
https://www.google.com/maps/place/%E8%B5%A4%E5%B3%B0%E9%90%B5%E6%9D%BF%E7%87%92+%E6%96%B0%E5%B8%82%E5%BA%97/data=!4m7!3m6!1s0x346e7b8ad23738ef:0xd6cda3d153b884c0!8m2!3d23.0820237!4d120.2952514!16s%2Fg%2F11q82sjjfx!19sChIJ7zg30op7bjQRwIS4U9GjzdY?authuser=0&hl=zh-TW&rclk=1,赤峰鐵板燒 新市店,4.4,$200-400,鐵板燒,復興路83號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxCBxmqgVSpaO5-CAvMQuoQaA09BWpfShDOj2N7tFAZQPh0GE46-W1q0Kx5HzIrJZ7buaxEnRL56J4CNoKMnZrbhETfiX2GqIOHZVoheRzWtr2ENTbwrLIoznHlgGqXS9fSfyrCAw=w80-h106-k-no
https://www.google.com/maps/place/Room+130+%E7%BE%8E%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8%EF%BC%88%E7%90%83%E8%B3%BD%E8%BD%89%E6%92%AD%E3%80%81%E6%8F%90%E4%BE%9B%E5%8C%85%E5%A0%B4%EF%BC%89/data=!4m7!3m6!1s0x346e7a585fc0581d:0xefc4865edeeedfee!8m2!3d23.0761224!4d120.29581!16s%2Fg%2F11c0py_st1!19sChIJHVjAX1h6bjQR7t_u3l6GxO8?authuser=0&hl=zh-TW&rclk=1,Room 130 美式餐酒館（球賽轉播、提供包場）,4.4,$200-400,酒吧,光華街105-2號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwp99krZb8SQUmSN8NZKJuuaIDi1s08k-9XBJQx_-_iyiuprar0GY7RE2tix-a4KeOzKBEpOL0HxcjII7JvPp5NaJ-3kk5fEnP7x1t1hR2xQK8b9ja0jLu_pN4uKaYiuzxSsGg1=w122-h92-k-no
https://www.google.com/maps/place/%E9%9C%B8%E7%8E%8B%E6%B5%B7%E9%AE%AE%E5%A1%94%E6%B1%95%E9%A0%AD%E6%B2%99%E8%8C%B6%E7%88%90/data=!4m7!3m6!1s0x346e7bc73394dbcb:0x480a16aab523ae15!8m2!3d23.0795284!4d120.2888542!16s%2Fg%2F11h3pn6qyf!19sChIJy9uUM8d7bjQRFa4jtaoWCkg?authuser=0&hl=zh-TW&rclk=1,霸王海鮮塔汕頭沙茶爐,4.5,$400-600,海鮮,民生路93號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzYQX2r5CjfgmnVeoJ3a7bPfZe7MRwczthwxoyFktNfLvMnOdutSDxJUHNoslzYO7Qd4FiaAgxx2GAePA5tlp3LNg7JlmB3zjW8SNrlpj7qIZR2ONxbLGS8RDkFlX0V4lT5gMd7PQ=w138-h92-k-no
https://www.google.com/maps/place/%E6%97%BA%E8%A7%92%E5%B1%85%E9%85%92%E5%B1%8B+%E7%86%B1%E7%82%92+%E5%95%A4%E9%85%92%E5%B1%8B/data=!4m7!3m6!1s0x346e7b113375c66b:0x4442f3971690950f!8m2!3d23.0709423!4d120.289068!16s%2Fg%2F11rcdf4rjy!19sChIJa8Z1MxF7bjQRD5WQFpfzQkQ?authuser=0&hl=zh-TW&rclk=1,旺角居酒屋 熱炒 啤酒屋,4.3,$400-600,現代居酒屋,·,https://lh3.googleusercontent.com/p/AF1QipPi6ROm1mrH4EBYmmNmWIhuD1GwCU4fDCce77GV=w122-h92-k-no
